feedback_id,created_at,game_ref,player_appellation,version,event_name,channel,text,image_hint,text_emotion,text_emotion_cn,text_confidence,image_emotion,image_emotion_cn,image_confidence,fused_emotion,fused_emotion_cn,fused_confidence,intent,risk_level,need_reply,recommended_action,tags,trace
FB0001,2026-04-10 02:43:00,原神,旅行者,5.7,海灯节复刻,TapTap,移动端画面特效一多就掉帧，尤其是新地图传送点附近。,崩溃报错截图,sadness,失落,0.79,sadness,失落,0.4,sadness,失落,0.65,BUG反馈,高,是,优先客服跟进；同步运营群；检查公告口径,体验问题；需人工复核,文本情绪=失落(0.79); 图像线索=崩溃报错截图/失落(0.4); 融合结果=失落(0.65); 意图=BUG反馈; 风险=高
FB0002,2026-04-20 04:28:00,鸣潮,漂泊者,3.0,主线间章,客服工单,公告说法太模糊，社区都吵起来了，建议尽快补充解释。,无图,disgust,反感,0.89,,,0.0,disgust,反感,0.89,舆情投诉,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,需人工复核,文本情绪=反感(0.89); 图像线索=无图/失落(0.0); 融合结果=反感(0.89); 意图=舆情投诉; 风险=严重
FB0003,2026-04-10 02:05:00,星穹铁道,开拓者,3.2,跃迁卡池,游戏内问卷,邮件有效期太短，错过上线就领不到，有点难受。,公告截图,sadness,失落,0.72,joy,喜悦,0.77,sadness,失落,0.74,福利补偿,中,是,生成角色化安抚回复；归入版本反馈池,商业化/补偿,文本情绪=失落(0.72); 图像线索=公告截图/喜悦(0.77); 融合结果=失落(0.74); 意图=福利补偿; 风险=中
FB0004,2026-04-07 07:02:00,星穹铁道,开拓者,3.3,活动商店,NGA论坛,新角色的个人故事很细腻，配音和BGM加分，真的有被打动。,抽卡截图,surprise,惊讶,0.87,anger,愤怒,0.57,surprise,惊讶,0.77,剧情评价,低,否,记录样本；进入日报统计,内容反馈,文本情绪=惊讶(0.87); 图像线索=抽卡截图/愤怒(0.57); 融合结果=惊讶(0.77); 意图=剧情评价; 风险=低
FB0005,2026-04-07 11:38:00,明日方舟,博士,2.5,集成战略,小红书,这次礼包性价比还可以，但希望别把关键养成材料拆太碎。,剧情CG截图,joy,喜悦,0.78,joy,喜悦,0.57,joy,喜悦,0.71,抽卡/付费,中,是,生成角色化安抚回复；归入版本反馈池,商业化/补偿；可正向传播,文本情绪=喜悦(0.78); 图像线索=剧情CG截图/喜悦(0.57); 融合结果=喜悦(0.71); 意图=抽卡/付费; 风险=中
FB0006,2026-05-05 14:17:00,鸣潮,漂泊者,2.6,共鸣者唤取,游戏内问卷,维护补偿到账很快，这点好评。,公告截图,joy,喜悦,0.93,joy,喜悦,0.63,joy,喜悦,0.82,福利补偿,低,否,记录样本；进入日报统计,商业化/补偿；可正向传播,文本情绪=喜悦(0.93); 图像线索=公告截图/喜悦(0.63); 融合结果=喜悦(0.82); 意图=福利补偿; 风险=低
FB0007,2026-05-05 10:23:00,鸣潮,漂泊者,3.2,共鸣者唤取,客服工单,角色强度和剧情表现差距有点大，希望后续能加强。,活动奖励截图,joy,喜悦,0.96,joy,喜悦,0.38,joy,喜悦,0.76,角色厨力,低,是,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=喜悦(0.96); 图像线索=活动奖励截图/喜悦(0.38); 融合结果=喜悦(0.76); 意图=角色厨力; 风险=低
FB0008,2026-05-03 22:38:00,鸣潮,漂泊者,2.6,主线间章,客服工单,攒了两个月终于抽到本命，角色演出太值了。,无图,surprise,惊讶,0.78,,,0.0,surprise,惊讶,0.78,抽卡/付费,中,是,生成角色化安抚回复；归入版本反馈池,商业化/补偿,文本情绪=惊讶(0.78); 图像线索=无图/愤怒(0.0); 融合结果=惊讶(0.78); 意图=抽卡/付费; 风险=中
FB0009,2026-05-10 02:00:00,明日方舟,博士,2.7,集成战略,TapTap,维护补偿到账很快，这点好评。,角色立绘截图,trust,信任,0.91,sadness,失落,0.64,trust,信任,0.82,福利补偿,低,是,记录样本；进入日报统计,商业化/补偿；可正向传播,文本情绪=信任(0.91); 图像线索=角色立绘截图/失落(0.64); 融合结果=信任(0.82); 意图=福利补偿; 风险=低
FB0010,2026-04-01 10:38:00,明日方舟,博士,2.6,限定寻访,TapTap,角色调整没有提前沟通，老玩家会觉得被背刺。,公告截图,anger,愤怒,0.59,surprise,惊讶,0.49,anger,愤怒,0.55,舆情投诉,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,需人工复核,文本情绪=愤怒(0.59); 图像线索=公告截图/惊讶(0.49); 融合结果=愤怒(0.55); 意图=舆情投诉; 风险=严重
FB0011,2026-05-11 22:35:00,原神,旅行者,5.7,月之歌版本,TapTap,文案里专有名词太密集，新玩家看得有点懵。,崩溃报错截图,joy,喜悦,0.78,fear,担忧,0.76,fear,担忧,0.77,剧情评价,中,是,生成角色化安抚回复；归入版本反馈池,内容反馈,文本情绪=喜悦(0.78); 图像线索=崩溃报错截图/担忧(0.76); 融合结果=担忧(0.77); 意图=剧情评价; 风险=中
FB0012,2026-04-06 20:21:00,明日方舟,博士,2.5,危机合约轮换,NGA论坛,反馈入口太深了，找客服像做隐藏任务。,剧情CG截图,anger,愤怒,0.79,anger,愤怒,0.75,anger,愤怒,0.78,客服求助,高,是,优先客服跟进；同步运营群；检查公告口径,需人工复核,文本情绪=愤怒(0.79); 图像线索=剧情CG截图/愤怒(0.75); 融合结果=愤怒(0.78); 意图=客服求助; 风险=高
